KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY,REPEAT
0,16MAR39,60.0,0,11.0,67349.0,No,0.0,No,M,PhD,Professional,14,Private,14230,11,Minivan,yes,4461,2,No,3,0,18.0,0,Urban,1
0,21JAN56,43.0,0,11.0,91449.0,No,257252.0,No,M,High School,Blue Collar,22,Commercial,14940,1,Minivan,yes,0,0,No,0,0,1.0,0,Urban,0
0,18NOV51,48.0,0,11.0,52881.0,No,0.0,No,M,Bachelors,Manager,26,Private,21970,1,Van,yes,0,0,No,2,0,10.0,0,Urban,0
0,05MAR64,35.0,1,10.0,16039.0,No,124191.0,Yes,F,High School,Clerical,5,Private,4010,4,SUV,no,38690,2,No,3,0,10.0,0,Urban,1
0,05JUN48,51.0,0,14.0,61572.07326346075,No,306251.0,Yes,M,<High School,Blue Collar,32,Private,15440,7,Minivan,yes,0,0,No,0,0,6.0,0,Urban,0
0,17MAY49,50.0,0,10.474061923313512,114986.0,No,243925.0,Yes,F,PhD,Doctor,36,Private,18000,1,SUV,no,19217,2,Yes,3,0,17.0,0,Urban,1
0,05MAY65,34.0,1,12.0,125301.0,Yes,0.0,No,F,Bachelors,Blue Collar,46,Commercial,17430,1,Sports Car,no,0,0,No,0,2946,7.0,1,Urban,0
0,28FEB45,54.0,0,10.474061923313512,18755.0,No,154523.01860799835,Yes,F,<High School,Blue Collar,33,Private,8780,1,SUV,no,0,0,No,0,0,1.0,0,Urban,0
1,17SEP59,40.0,1,11.0,50815.0,Yes,0.0,No,M,High School,Manager,21,Private,18930,6,Minivan,no,3295,1,No,2,6477,1.0,1,Urban,1
0,21AUG55,44.0,2,12.0,43486.0,Yes,0.0,No,F,High School,Blue Collar,30,Commercial,5900,10,SUV,no,0,0,No,0,0,10.0,0,Rural,0
1,14DEC61,37.0,2,10.474061923313512,107961.0,No,333680.0,Yes,M,Bachelors,Blue Collar,44,Commercial,16970,1,Van,yes,2374,1,Yes,10,4021,7.0,1,Urban,1
0,22NOV64,34.0,0,10.0,62978.0,No,0.0,No,F,Bachelors,Clerical,34,Private,11200,1,SUV,no,0,0,No,0,2501,1.0,1,Urban,0
